1056,-1068,4517,-812,-321,-2232,-649,81,-1881
886,-1087,4471,-22,-36,-4051,665,-2290,-843
886,-1087,4471,-28,-48,-4057,52,-92,20
886,-1087,4471,5,-45,-4350,98,-103,7
886,-1087,4471,24,-42,-4155,59,-71,4
906,-1055,4466,26,-58,-4059,104,-132,-22
906,-1055,4466,33,-71,-4041,90,-106,-28
906,-1055,4466,-29,-85,-4057,51,-58,-7
906,-1055,4466,11,-45,-4168,66,-76,-12
906,-1055,4466,3,-103,-4020,62,-79,-14
944,-1067,4453,46,-38,-4058,100,-112,-35
944,-1067,4453,43,-61,-4076,72,-87,-24
944,-1067,4453,11,-55,-4057,55,-55,-9
944,-1067,4453,3,-71,-4112,56,-56,-6
907,-1072,4398,-253,-44,-4078,72,-86,-15
907,-1072,4398,-19,-54,-4122,78,-86,-18
907,-1072,4398,-36,-36,-4166,90,-95,-24
907,-1072,4398,-1,-49,-4130,102,-93,-24
907,-1072,4398,-6,-36,-4083,84,-100,-34
892,-1069,4423,35,-45,-4184,79,-88,-23
892,-1069,4423,2,-64,-4148,54,-63,-4
892,-1069,4423,-10,-46,-4104,99,-111,-32
892,-1069,4423,-34,-24,-4146,84,-99,-26
879,-1055,4402,-70,-38,-4122,57,-66,-10
879,-1055,4402,-57,-37,-4170,85,-70,-15
879,-1055,4402,-19,-35,-4259,89,-90,-20
879,-1055,4402,61,-47,-4020,56,-60,-10
879,-1055,4402,-36,-36,-4012,95,-104,-33
963,-1041,4432,246,-70,-4039,92,-112,-32
963,-1041,4432,65,-88,-3970,96,-111,-32
963,-1041,4432,44,-36,-4130,96,-107,-24
963,-1041,4432,-34,-48,-4148,102,-90,-12
931,-1046,4406,-35,-39,-4332,102,-100,-24
931,-1046,4406,-15,-31,-4017,89,-110,-33
931,-1046,4406,13,7,-4132,80,-90,-37
931,-1046,4406,244,-57,-4028,63,-68,-14
931,-1046,4406,59,-93,-4068,104,-116,-29
930,-1049,4432,10,-68,-4138,104,-127,-38
930,-1049,4432,-37,-41,-4004,72,-88,-20
930,-1049,4432,-10,-38,-4068,99,-82,-15
930,-1049,4432,4,-36,-4050,76,-102,-27
937,-1062,4421,16,-122,-4018,92,-98,-39
937,-1062,4421,-9,-39,-4061,109,-120,-25
937,-1062,4421,-3,-36,-4050,48,-62,-11
937,-1062,4421,-19,-25,-4108,79,-97,-32
937,-1062,4421,-18,-54,-4042,85,-86,-27
951,-1056,4388,8,-52,-4030,102,-144,-51
951,-1056,4388,12,-36,-4146,80,-80,-15
951,-1056,4388,-25,-35,-4061,60,-70,-15
951,-1056,4388,225,-16,-4016,66,-69,-18
923,-1070,4428,-26,-35,-4081,91,-87,-17
923,-1070,4428,-5,-27,-4095,95,-106,-27
923,-1070,4428,-19,-35,-4172,61,-97,-19
923,-1070,4428,-16,-40,-4148,66,-57,8
923,-1070,4428,2,-36,-4085,51,-69,-12
934,-1070,4393,34,-44,-4074,58,-71,-4
934,-1070,4393,-17,-41,-4083,72,-101,-13
934,-1070,4393,-34,-36,-4040,65,-95,-29
934,-1070,4393,-12,-1,-4017,90,-103,-26
907,-1081,4379,-7,-37,-3870,79,-106,-31
907,-1081,4379,-24,-4,-4004,93,-113,-23
907,-1081,4379,-30,-6,-4033,49,-103,-32
907,-1081,4379,14,-38,-4024,59,-81,-18
907,-1081,4379,25,-55,-3955,62,-77,-10
898,-1078,4385,-36,-36,-3929,81,-98,-27
898,-1078,4385,25,-55,-4031,47,-44,-2
898,-1078,4385,9,-52,-4036,58,-87,-25
898,-1078,4385,5,-65,-3952,72,-81,-14
884,-1082,4388,-35,-43,-4189,103,-100,-29
884,-1082,4388,16,-46,-4274,85,-107,-31
884,-1082,4388,-44,-36,-4080,95,-103,-29
884,-1082,4388,-21,-61,-4107,91,-105,-20
884,-1082,4388,19,-39,-4041,51,-57,-4
900,-1079,4386,19,-35,-4091,52,-57,-5
900,-1079,4386,-31,-32,-4102,66,-71,-11
900,-1079,4386,14,-42,-4149,81,-85,-11
900,-1079,4386,-36,-58,-4085,85,-87,-17
919,-1101,4383,-9,-75,-3863,65,-83,-11
919,-1101,4383,56,-42,-4077,79,-115,-33
919,-1101,4383,-16,-38,-4108,76,-80,-13
919,-1101,4383,-35,-35,-4118,75,-79,-10
919,-1101,4383,-10,-36,-4026,65,-81,-10
933,-1071,4329,-53,-25,-4112,72,-77,-12
933,-1071,4329,-22,-40,-4113,79,-96,-17
933,-1071,4329,-17,-63,-4124,80,-79,-10
933,-1071,4329,6,-32,-4009,76,-96,-21
926,-1076,4412,-5,-35,-4060,93,-112,-25
926,-1076,4412,-13,-35,-4088,96,-99,-36
926,-1076,4412,244,-52,-4058,63,-71,-14
926,-1076,4412,34,-62,-4025,93,-105,-28
926,-1076,4412,-36,-36,-4060,76,-85,-14
903,-1098,4368,-32,-48,-4085,73,-91,-14
903,-1098,4368,-29,-37,-3978,78,-100,-19
903,-1098,4368,-9,-43,-4076,78,-106,-22
903,-1098,4368,5,-35,-4051,89,-95,-33
919,-1050,4388,-2,-25,-4052,84,-102,-25
919,-1050,4388,-15,-28,-4109,63,-59,-13
919,-1050,4388,-50,-54,-4078,75,-102,-30
919,-1050,4388,-41,-33,-4141,94,-88,-14
919,-1050,4388,10,-36,-3843,95,-107,-35
887,-1069,4431,-16,-40,-4094,84,-103,-31
887,-1069,4431,-36,-36,-4120,83,-90,-3
887,-1069,4431,-37,-36,-4134,66,-75,248
887,-1069,4431,-65,-35,-4092,72,-78,-13
901,-1057,4419,-36,-44,-4158,91,-104,-28
901,-1057,4419,58,-38,-4218,70,-72,-3
901,-1057,4419,16,-82,-4071,51,-79,-10
901,-1057,4419,4,-36,-4086,67,-69,-13
901,-1057,4419,0,-84,-3978,109,-116,-43
901,-1035,4402,7,-70,-4092,83,-107,-29
901,-1035,4402,14,-40,-4031,72,-76,-5
901,-1035,4402,-27,-51,-4067,76,-99,-30
901,-1035,4402,-63,-35,-4114,62,-82,-8
913,-1060,4419,-43,-39,-4140,84,-88,-4
913,-1060,4419,-41,-35,-4100,116,-107,-32
913,-1060,4419,-29,-35,-4039,101,-116,-26
913,-1060,4419,-13,27,-4138,81,-110,-35
913,-1060,4419,-29,-50,-4003,100,-119,-40
916,-1090,4401,18,-36,-4072,66,-88,-15
916,-1090,4401,-8,-67,-4063,97,-110,-34
916,-1090,4401,77,-13,-4161,87,-102,-33
916,-1090,4401,8,-196,-3860,56,-135,4
908,-1076,4452,165,-33,-3924,63,-97,109
908,-1076,4452,266,-152,-4124,61,-83,256
908,-1076,4452,128,-52,-4012,75,-105,381
908,-1076,4452,231,-485,-4479,138,-106,488
908,-1076,4452,236,53,-4040,100,-128,584
835,-1039,4403,151,-71,-4096,102,-112,581
835,-1039,4403,79,213,-4463,94,-101,550
835,-1039,4403,186,252,-3775,40,-101,657
835,-1039,4403,213,-467,-4533,121,-75,760
795,-907,4313,347,19,-3955,86,-30,928
795,-907,4313,145,289,-4141,79,-60,1095
795,-907,4313,170,-13,-3996,117,-72,1329
795,-907,4313,218,271,-3939,140,-127,1378
795,-907,4220,6,-12,-3926,100,-52,1402
669,-665,4220,21,-163,-4067,114,-72,1408
669,-665,4220,-18,330,-4338,95,-57,1266
669,-665,4220,-4,22,-3833,211,-1,1034
669,-665,4220,-390,-66,-2042,209,-220,909
730,-370,4043,-1056,872,-3347,55,-56,253
730,-370,4043,1460,898,-4037,66,-66,796
730,-370,4043,1452,618,-3776,-132,-9,1478
730,-370,4043,-1536,-346,-4940,-103,-29,1131
906,-204,3957,-2560,-668,-4813,-388,-30,39
906,-204,3957,49,-869,-6167,-769,-732,-9
906,-204,3957,-138,-462,-5235,-1009,-1937,575
906,-204,3957,-549,195,-4493,-1434,-2167,536
906,-204,3957,-1590,793,-3756,-1848,-2090,294
1547,-703,3928,-2050,1922,-3707,-2018,-1517,86
1547,-703,3928,-862,1896,-4768,-1655,-831,302
1547,-703,3928,-1501,1293,-5567,-959,-382,582
1547,-703,3928,-1291,2329,-5765,-175,-690,794
2049,-1248,3851,-1175,-2245,-3271,217,-1040,352
2049,-1248,3851,-3844,387,-4908,794,-1942,1518
2049,-1248,3851,1784,2824,-2838,1725,2237,-1601
2049,-1248,3851,-2884,1326,-3052,1479,677,-1214
2049,-1248,3851,-2733,1231,-3627,1224,540,-1025
2500,-734,3741,-1175,625,-4307,822,1017,-1166
2500,-734,3741,-1436,440,-4505,668,1463,-1294
2500,-734,3741,-1455,603,-4835,823,998,-1545
2500,-734,3741,-2027,1030,-5226,1175,-287,-1789
2422,-108,3460,-1408,253,-4205,1479,-499,-2025
2422,-108,3460,-1593,-99,-3514,1437,-1441,-2485
2422,-108,3460,-1952,-480,-3133,1079,-1105,-3025
2422,-108,3460,-1799,153,-1628,345,1111,-2531
2422,-108,3460,-958,576,-2124,-625,766,-1927
2229,562,2943,-636,-174,-2447,-1190,763,-1791
2229,562,2943,-67,173,-3613,-1557,312,-1722
2229,562,2943,101,767,-4413,-1493,-267,-1331
2229,562,2943,-334,454,-5087,-919,-693,-1064
2121,214,2894,-738,813,-4672,-237,-862,-940
2121,214,2894,-452,376,-3484,-69,-501,-796
2121,214,2894,-848,-52,-3222,-282,-482,-673
2121,214,2894,-1321,97,-3713,-542,-555,-853
2121,214,2894,-1209,359,-3454,-720,-354,-834
2452,265,2874,-1632,330,-3733,-742,124,-1032
2452,265,2874,-966,202,-4382,-516,112,-1534
2452,265,2874,-535,677,-4242,-261,65,-1185
2452,265,2874,-918,284,-4319,-153,297,-1016
2326,546,2997,-806,304,-3894,-283,294,-921
2326,546,2997,-541,221,-3145,-425,158,-995
2326,546,2997,-29,477,-3309,-603,289,-599
2326,546,2997,-473,293,-3721,-682,204,-270
2326,546,2997,-520,298,-4316,-737,253,-193
2069,523,3217,-332,475,-4072,-696,317,-10
2069,523,3217,-109,639,-3962,-624,292,280
2069,523,3217,677,3317,-22168,335,1043,1396
2069,523,3217,124,2284,1340,305,-469,1176
2078,296,3390,-1104,1682,-291,130,-54,1336
2078,296,3390,-1592,691,-1132,80,-1053,1144
2078,296,3390,-1172,-43,2114,-28,-645,787
2078,296,3390,-419,463,-377,-114,-743,1230
2078,296,3390,-1786,1342,-532,-219,-542,1250
2344,104,3448,-1515,-9,-1420,-27,-567,1035
2344,104,3448,-1611,513,-5727,157,-672,951
2344,104,3448,-1908,1040,-4953,235,-515,809
2344,104,3448,-2636,936,-5853,525,-554,320
2554,39,3344,-2230,1153,-5385,815,-644,10
2554,39,3344,-1115,-2411,-2712,1159,-641,-242
2554,39,3344,-2041,-383,-2555,1248,-528,-375
2554,39,3344,-1290,1288,-1784,806,-811,-249
2554,39,3344,-1651,483,-3166,368,-579,-307
2551,383,3256,-1576,454,-3659,59,-391,-504
2551,383,3256,-1047,409,-3845,15,116,-697
2551,383,3256,-966,462,-4123,143,282,-772
2551,383,3256,-677,535,-3980,217,487,-939
2332,501,3357,-727,2303,-14953,6,1224,-1127
2332,501,3357,-590,1580,-9164,-86,728,-1342
2332,501,3357,-827,693,-754,-40,826,-763
2332,501,3357,-1282,1136,-7328,341,1228,-728
2332,501,3357,-157,275,-716,502,593,-977
1935,598,3521,-322,241,-2231,921,1185,-1280
1935,598,3521,-1500,963,-4324,516,681,-2006
1935,598,3521,1935,219,-3399,-346,1958,-1323
1935,598,3521,3361,-7189,-5162,6,836,-1941
1251,863,3558,877,-1163,-4385,364,874,-1744
1251,863,3558,1182,30,-3361,272,774,-1449
1251,863,3558,1101,259,-3529,71,543,-1223
1251,863,3558,569,-149,-4668,374,376,-829
1251,863,3558,24,304,-5994,593,708,-1040
730,870,3526,770,424,-5407,607,781,-1394
730,870,3526,56,613,-4810,537,550,-1467
730,870,3526,1462,420,-4162,390,444,-1358
730,870,3526,940,36,-3879,212,191,-1208
290,929,3373,975,267,-3821,137,43,-1147
290,929,3373,613,277,-3898,81,-101,-1126
290,929,3373,349,355,-4277,209,-327,-1307
290,929,3373,404,464,-4461,295,-398,-1434
290,929,3373,283,422,-4103,272,-237,-1557
129,793,3348,421,371,-4203,132,-137,-1667
129,793,3348,578,434,-4312,61,-110,-1685
129,793,3348,321,365,-4398,116,-227,-1740
129,793,3348,329,421,-4291,274,-276,-1842
-116,598,3298,572,458,-4216,358,-460,-1873
-116,598,3298,867,595,-4160,378,-567,-1817
-116,598,3298,1028,565,-4095,380,-653,-1702
-116,598,3298,933,455,-4049,320,-542,-1507
-116,598,3298,533,265,-4064,264,-418,-1445
-154,475,3365,566,242,-3739,197,-195,-1429
-154,475,3365,680,202,-3674,-21,116,-1334
-154,475,3365,385,153,-4177,-41,245,-1242
-154,475,3365,225,70,-4311,134,188,-1248
-343,286,3322,1,-33,-3836,298,105,-1232
-343,286,3322,100,-232,-3655,251,-66,-1234
-343,286,3322,-77,-343,-4058,202,-252,-1297
-343,286,3322,116,-248,-3939,254,-192,-1318
-343,286,3322,170,-284,-3762,184,63,-1304
-447,131,3258,86,-330,-3894,34,218,-1293
-447,131,3258,-35,-345,-4018,14,313,-1322
-447,131,3258,104,-196,-4247,40,214,-1365
-447,131,3258,526,-36,-4520,128,80,-1239
-621,-119,3219,312,-104,-4511,340,-65,-1136
-621,-119,3219,303,-67,-4400,444,-198,-1081
-621,-119,3219,571,39,-4367,461,-322,-957
-621,-119,3219,614,91,-4465,478,-393,-801
-621,-119,3219,737,129,-4411,575,-469,-655
-640,-193,3227,1021,91,-4291,567,-528,-418
-640,-193,3227,963,77,-4414,642,-560,-200
-640,-193,3227,922,-12,-4138,740,-599,-73
-640,-193,3227,988,-110,-3632,680,-659,46
-509,5,3229,970,-46,-3745,528,-660,135
-509,5,3229,896,-98,-3594,408,-674,214
-509,5,3229,908,14,-3834,297,-690,250
-509,5,3229,818,156,-4029,234,-641,336
-509,5,3229,791,213,-3921,0,-674,360
-277,143,3266,685,199,-3997,202,-775,315
-277,143,3266,494,230,-4078,198,-711,280
-277,143,3266,655,255,-3928,220,-560,278
-277,143,3266,527,145,-3884,131,-451,281
-74,250,3303,465,81,-3850,63,-440,235
-74,250,3303,247,77,-4059,-4,-407,172
-74,250,3303,222,112,-4278,-20,-328,98
-74,250,3303,154,218,-4382,7,-208,74
-74,250,3303,48,118,-4247,134,-56,36
6,294,3288,-134,-2,-3830,89,107,-52
6,294,3288,-174,-58,-3675,-19,159,-220
6,294,3288,-245,-10,-3706,-236,338,-366
6,294,3288,75,87,-4075,-424,434,-430
-161,154,3261,-24,6,-4233,-417,497,-485
-161,154,3261,-36,224,-4227,-377,421,-539
-161,154,3261,-133,95,-4264,-359,341,-605
-161,154,3261,-120,-26,-4059,-406,352,-747
-327,-96,3214,-106,-38,-4026,-479,392,-841
-327,-96,3214,-36,-12,-4408,-467,339,-889
-327,-96,3214,144,-37,-4535,-290,234,-906
-327,-96,3214,142,-131,-4476,-10,118,-840
-327,-96,3214,-48,-146,-4378,235,28,-818
-479,-354,3175,-20,-132,-3861,356,51,-810
-479,-354,3175,-35,-209,-3539,328,131,-834
-479,-354,3175,-22,-256,-3144,106,225,-934
-479,-354,3175,300,-118,-2999,-246,398,-1000
-607,-505,3098,767,-10,-3736,-545,449,-951
-607,-505,3098,407,-7,-4476,-427,281,-866
-607,-505,3098,528,-96,-4130,-161,146,-783
-607,-505,3098,469,-261,-3688,-144,46,-668
-607,-505,3098,262,-280,-4082,-274,-31,-612
-722,-774,3015,280,-208,-4225,-216,-79,-560
-722,-774,3015,262,-96,-4704,14,-193,-431
-722,-774,3015,-59,-126,-4579,288,-195,-350
-722,-774,3015,-169,-199,-3878,382,-59,-344
-734,-892,3002,-143,-237,-3385,222,78,-339
-734,-892,3002,32,-236,-3443,113,71,-384
-734,-892,3002,54,-228,-3793,-16,48,-307
-734,-892,3002,11,-259,-4020,10,-171,-319
-734,-892,3002,14,-200,-4356,116,-401,-314
-745,-967,3001,-6,-126,-4515,239,-503,-215
-745,-967,3001,-134,-146,-4404,322,-528,-152
-745,-967,3001,-203,-97,-4287,303,-494,-88
-745,-967,3001,-153,-181,-4526,295,-457,-22
-638,-910,3132,-334,-226,-4580,331,-566,-52
-638,-910,3132,-169,-189,-4532,386,-550,-87
-638,-910,3132,85,-121,-4197,289,-329,-56
-638,-910,3132,147,68,-4286,124,-257,36
-638,-910,3132,316,204,-4831,107,-466,89
-576,-935,3168,357,291,-5313,306,-793,254
-576,-935,3168,-55,191,-5102,628,-1125,360
-576,-935,3168,-400,-42,-4461,707,-1265,336
-576,-935,3168,-268,-172,-3974,495,-1146,228
-325,-772,3404,-117,-27,-4061,174,-849,241
-325,-772,3404,-189,112,-4539,-23,-708,246
-325,-772,3404,-460,120,-4855,39,-901,137
-325,-772,3404,-320,168,-4831,203,-1097,-36
-325,-772,3404,-87,223,-4620,314,-1017,-89
15,-753,3621,-220,226,-4406,363,-825,-119
15,-753,3621,-194,110,-3995,367,-694,-177
15,-753,3621,-260,-10,-3817,324,-686,-303
15,-753,3621,-283,-37,-3547,234,-603,-436
306,-666,3652,-21,-35,-3235,103,-429,-537
306,-666,3652,142,-12,-3449,-58,-251,-546
306,-666,3652,-425,-137,-3332,-155,-153,-567
306,-666,3652,348,-40,-3567,-154,-64,-545
306,-666,3652,460,-36,-3428,-175,-58,-559
334,-779,3689,573,-9,-3448,-348,23,-501
334,-779,3689,673,89,-3792,-474,184,-349
334,-779,3689,629,197,-4059,-419,354,-200
334,-779,3689,433,95,-4003,-342,411,-75
324,-994,3682,324,96,-3635,-203,371,-3
324,-994,3682,166,-32,-3157,-234,348,19
324,-994,3682,248,-6,-3220,-394,446,42
324,-994,3682,519,33,-3588,-539,633,125
324,-994,3682,518,36,-3595,-585,790,252
55,-1155,3597,327,-35,-3804,-598,754,349
55,-1155,3597,449,-78,-4038,-521,596,430
55,-1155,3597,145,-171,-4065,-428,445,433
55,-1155,3597,329,-89,-4239,-441,435,554
-248,-1283,3416,400,-94,-4300,-446,384,776
-248,-1283,3416,-101,-103,-5109,-409,402,838
-248,-1283,3416,-221,-221,-4768,-345,405,742
-248,-1283,3416,-215,-267,-4880,-503,290,598
-248,-1283,3416,68,11,-5851,-433,212,521
-467,-1352,3300,347,140,-6203,-94,290,592
-467,-1352,3300,561,79,-5414,1,302,726
-467,-1352,3300,568,34,-5161,29,206,841
-467,-1352,3300,298,54,-5301,23,-26,878
-655,-1245,3239,276,230,-5346,57,-241,856
-655,-1245,3239,713,485,-5662,288,-250,902
-655,-1245,3239,862,502,-5191,683,-64,1107
-655,-1245,3239,583,211,-4278,837,-124,1214
-655,-1245,3239,114,104,-4055,842,-338,1150
-655,-866,3312,311,139,-3844,752,-505,998
-655,-866,3312,379,307,-3889,670,-627,893
-655,-866,3312,395,501,-4334,691,-702,801
-655,-866,3312,468,602,-4239,835,-587,812
-547,-456,3389,393,447,-3961,980,-352,852
-547,-456,3389,85,260,-3408,1047,-81,847
-547,-456,3389,533,-239,-2458,894,182,683
-547,-456,3389,780,-34,-2413,590,297,702
-547,-456,3389,844,-36,-2619,413,282,741
-524,-42,3332,641,-143,-2709,354,73,688
-524,-42,3332,518,-234,-2741,288,-265,556
-524,-42,3332,819,-60,-2826,143,-386,760
-524,-42,3332,876,66,-3126,62,-396,607
-439,142,3408,562,136,-3677,81,-336,634
-439,142,3408,722,188,-3687,39,-53,714
-439,142,3408,732,106,-3688,69,274,784
-439,142,3408,639,13,-3647,30,368,794
-439,142,3408,641,1,-3756,-72,305,773
-434,268,3299,944,248,-4288,-137,235,818
-434,268,3299,1220,428,-4669,-86,285,999
-434,268,3299,1067,299,-4534,-53,394,1219
-434,268,3299,411,-155,-4150,-196,185,1231
-427,369,3237,140,-300,-4771,-449,-318,1000
-427,369,3237,71,23,-5378,-409,-370,793
-427,369,3237,520,192,-5137,-270,-302,800
-427,369,3237,530,172,-4955,-237,-10,880
-427,369,3237,205,-165,-4390,-339,182,867
-320,407,3364,30,-372,-4116,-555,189,680
